"1","Razorpay","FinTech","Payments/SaaS","Bangalore, India","8","0.48"
"2","Postman","SaaS","API Development","Bangalore, India","7","0.54"
"3","Whatfix","SaaS","Digital Adoption","Bangalore, India","5","0.50"
"4","Hasura","SaaS","GraphQL/Data","Bangalore, India","5","0.50"
"5","LeadSquared","SaaS","CRM/Marketing","Bangalore, India","5","0.50"
"6","Netradyne","SaaS","AI/Fleet Mgmt","Bangalore, India","5","0.50"
"7","Krutrim AI","SaaS","LLM/GenAI","Bangalore, India","5","0.50"
"8","Locus","Logistics","SaaS/Route","Bangalore, India","4","0.38"
"9","Cropin","AgriTech","SaaS/AI","Bangalore, India","5","0.40"
"10","TheHouseMonk","PropTech","SaaS/Property Mgmt","Bangalore, India","3","0.36"
